c_12,6,5,5,5,5,5,5,6,5,5,5,5,5,4,5,4,4,4,4,4,5,4,5,5,4,4,5,5,4,5,4,4,4,5,4,5,5,6,6,6,7,9,10,11,10,9,9,13,13,15,18,15,14,18,17,15,14,15,13,13,13,14,13,13,13,12,12,13,12,12,13,14,15,13,14,12,12,22,11,10,11,10,13,11,10,11,12,11,12,12,12,10,12,13,12,12,12,12,13,12,12,12,13,12,12,12,14,13,13,12,11,12,11,12,11,10,11,10,11,10,11,10,10,9,10,10,9,9,9,9,11,10,10,10,9,10,10,9,10,10,10,9,10,11,8,8,7,7,7,7,6,7,6,6,6,7,5,6,6,5,6,6,5,5,5,5,5,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,6,6,6,7,6,8,8,14,13,14,13,12,13,14,17,18,16,16,19,15,15,17,14,16,13,14,13,12,13,12,14,12,13,12,13,12,13,14,12,23,13,10,11,9,10,11,10,10,26,11,12,11,12,11,13,10,12,12,12,14,11,11,11,12,11,12,12,13,14,20,17,13,12,21,19,15,13,12,11,10,10,11,10,11,10,10,11,10,11,12,11,11,11,11,13,11,11,11,12,11,10,9,10,8,8,8,7,7,9,7,6,7,5,8,5,5,5,5,5,5,4,5,5,4,5,5,6,5,4,5,4,5,6,4,4,4,5,4,4,5,6,7,7,8,8,10,16,14,17,21,18,17,15,14,14,13,15,14,14,13,13,13,12,13,14,13,14,12,11,11,11,11,11,11,11,10,11,10,11,11,11,14,12,13,12,13,13,12,12,12,12,12,12,12,12,14,21,16,13,14,12,11,13,11,10,11,11,10,10,11,11,11,10,11,11,10,11,11,10,10,12,9,9,10,9,9,8,9,9,10,8,7
c_12,98,100,100,100,100,100,100,100,100,100,100,100,100,100,98,100,100,100,100,100,100,99,100,99,99,99,100,100,100,100,100,100,98,100,100,99,99,100,100,100,99,100,99,100,100,100,100,100,100,99,100,100,98,98,99,100,100,100,100,100,100,100,100,98,100,99,100,99,100,98,100,100,100,100,99,100,100,100,99,99,100,98,100,98,100,100,100,99,100,99,99,100,100,100,100,100,100,100,98,100,99,100,100,100,99,100,100,100,100,100,98,100,98,99,100,100,100,98,100,100,100,100,99,100,100,99,99,100,100,99,100,100,100,100,100,99,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,99,100,100,100,98,100,100,99,100,100,100,98,98,100,100,99,100,100,100,98,100,100,100,100,100,100,100,99,100,100,100,100,100,100,99,100,100,100,100,100,100,99,100,100,100,100,100,100,100,99,99,100,100,99,100,100,100,100,100,98,100,98,100,100,100,100,100,100,100,99,100,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,98,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,98,99,100,100,100,100,99,99,96,97,98,100,100,99,100,100,100,100,100,100,100,100,100,98,99,100,100,100,100,100,100,100,99,99,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,98,99,99,100,99,99,100,100,100,98,100,100,100,100,100,98,100,100,100,99,100,100,99,99,100,100,100,100,92,94,99,100,100,100,100,100,100,100,100,99,100,100,100,100,98,100,100,100,100,99,100,100,100,99,100,100,99
c_4,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,4,5,5,4,5,4,4,5,4,5,5,6,8,9,10,11,13,14,14,13,12,15,16,15,15,12,10,13,12,14,11,11,12,11,12,11,12,11,12,12,11,10,9,11,9,9,9,9,9,8,8,8,6,7,5,7,5,7,5,5,7,5,6,5,4,5,4,4,5,6,4,5,5,5,4,5,4,4,4,5,4,5,4,5,4,5,5,7,5,6,9,7,8,8,13,9,10,12,12,14,14,13,14,13,18,14,16,15,13,13,14,13,11,12,11,13,14,11,11,11,11,11,12,13,11,11,10,12,10,12,12,13,13,12,10,12,12,11,11,11,11,12,12,10,10,11,12,12,13,12,14,13,13,13,12,13,13,16,13,13,12,13,12,11,12,15,11,13,11,12,11,12,14,11,10,12,13,12,11,11,10,10,13,10,9,9,8,10,9,11,10,8,8,8,7,10,11,7,7,7,10,8,7,7,6,7,5,5,5,5,4,4,4,5,4,5,5,4,4,4,4,5,5,4,4,4,3,3,4,4,4,4,3,4,4,4,5,6,8,6,6,8,7,12,12,11,10,12,15,13,12,15,13,12,11,11,11,15,15,12,14,15,11,14,12,13,14,12,11,12,11,13,13,12,13,12,11,12,13,14,13,13,10,13,12,13,12,12,11,10,11,13,11,12,13,14,13,13,11,16,14,12,12,11,10,9,9,13,11,9,13,13,10,8,11,10,9,10,7,8,6,7,6,6,5,6,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,6,4,4,4,5,4,4,5,4,6,5,6,6,8,6,6,6,7,7,8,7,7,10,12,10,12,11,9,10,10,11,11,10,9,11,11,10,10,11,12,10,9,9,9,9,9,9,11,9,10,12,11,10,10,10,9,10,11,9,10,11,9,10,11,9,10,9,11,10,9,10,9,8,10,10,11,11,11,9,10,12,9,8,13,10,9,10,8,10,9,9,10,9,9,8,9,8,9,7,8,8,8,8,8,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,7,4,4,4,5,4,3,6,4,4,4,5,4,4,4,4,4,4,5,5,4,4,4,3,4,3,4,5,6,6,6,8,7,7,9,9,8,10,9,11,11,11,11,12,9,8,10,11,11,11,9,9,9,9,9,9,9,8,9,8,10,9,9,9,10,8,9,8,10,10,10,9,10,9,9,9,9,9,11,10,8,10,9,9,9,9,11,10,9,10,9,11,9,9,12,11,8,9,9,9,10,8,10,9,10,8,9,10,9,11,9,10,10,11,10,10,9,9,8,10,10,9,8,9,7,10,7,7,7,8,7,7,7,6,5,7,6,5,6,5,5,4,5,6,4,5,5,4,6,4,4,4,4,5,4,4,5,4,5,4,5,5,4,4,4,5,4,7,7,5,5,5,6,5,6,6,6,7,6,7,7,8,9,11,12,14,13,15,11,14,14,12,13,12,12,12,12,14,14,12,11,13,13,16,11,14,12,12,10,12,11,10,14,14,12,12,13,13,15,11,11,11,10,12,13,11,14,13,11,13,13,14,14,16,11,16,12,17,13,13,13,13,16,12,12,11,9,11,13,14,10,10,10,8,10,10,10,8,8,8,8,7,6,5,7,6,5,5,4,5,6,5,5,5,5,4,4,5,5,5,4,5,5,5,4,3,5,4,5,4,5,4,6,5,5,6,7,7,8,10,11,12,12,13,13,14,15,14,14,14,15,14,15,13,14,15,13,12,13,13,13,12,12,12,12,12,12,13,13,11,12,11,11,12,11,13,11,12,11,12,13,10,10,12,12,12,15,12,13,12,13,12,12,12,12,12,10,10,11,10,12,11,10,10,10,9,9,11,10,8,11,9,8,7,7,6,6,6,6,5,6,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,4,4,5,5,4,5,6,6,7,6,7,8,7,7,8,8,7,9,12,13,15,13,13,13,14,12,13,13,13,14,12,13,12,12,12,12,11,10,12,13,14,11,14,12,10,11,12,10,11,10,11,10,13,12,13,10,13,12,11,12,11,15,12,13,11,12,14,11,13,13,12,13,14,13,12,14,12,12,13,13,14,14,13,13,11,12,10,14,11,11,12,12,11,14,12,13,14,13,11,10,11,13,11,8,10,10,8,8,11,9,9,9,8,9,7,8,8,8,7,8
c_4,98,96,97,98,99,100,100,97,98,99,98,98,100,100,96,98,96,97,96,97,97,97,96,97,96,97,98,97,97,97,96,95,96,96,96,96,94,94,97,96,99,98,92,95,94,95,95,95,97,98,99,99,99,98,99,99,98,96,96,99,100,100,98,100,99,99,98,99,98,99,99,100,99,97,99,100,99,98,99,99,95,92,95,95,93,94,94,95,89,92,93,94,95,95,94,96,96,96,95,97,98,97,98,98,99,99,99,100,100,99,100,99,100,100,100,100,98,99,97,98,99,100,98,100,99,97,98,97,97,98,99,98,100,100,98,99,99,97,99,98,99,100,99,98,100,99,100,100,98,99,98,98,98,98,100,100,99,98,99,100,98,99,100,97,98,97,99,99,100,97,99,100,99,97,100,99,99,98,100,97,98,98,98,98,99,98,99,100,97,99,100,99,96,97,100,98,98,99,98,96,97,100,99,98,98,98,98,99,100,99,97,97,97,99,98,99,96,97,98,99,99,98,98,98,100,99,99,97,99,99,75,75,76,78,77,79,79,79,81,81,84,84,83,84,84,84,85,85,88,86,87,88,88,88,80,80,82,82,83,82,83,85,85,86,87,89,88,84,84,85,86,87,87,87,87,87,90,91,92,94,96,96,99,98,100,88,89,89,89,90,89,88,90,91,93,93,94,95,94,95,92,94,94,94,93,95,95,94,84,84,84,86,89,87,86,88,91,91,91,91,91,92,93,93,93,95,94,97,100,96,96,99,98,99,97,99,100,98,98,99,100,100,100,95,99,100,90,91,91,92,93,93,94,96,96,99,97,98,99,97,99,99,99,99,100,86,87,89,87,88,88,90,90,91,91,92,92,91,92,92,93,92,93,94,93,92,92,93,94,95,92,94,94,96,96,98,98,97,98,98,100,94,96,95,98,97,96,97,97,99,98,98,100,97,91,90,92,92,94,93,93,95,96,97,96,100,98,98,98,99,87,89,91,91,92,93,92,93,94,94,94,94,95,96,99,99,99,98,100,96,97,100,97,98,100,98,100,99,98,97,97,99,99,96,99,99,99,97,98,97,98,97,100,99,100,99,98,100,100,100,98,97,98,98,97,98,98,99,89,87,87,88,90,90,89,90,91,91,91,90,92,90,87,86,86,87,88,89,87,89,90,91,91,92,88,87,89,89,90,92,91,92,94,93,93,95,95,89,93,92,94,95,95,94,94,94,96,97,97,97,98,99,99,99,98,100,99,98,100,94,94,97,99,99,97,99,98,97,99,98,99,97,99,99,100,99,99,99,98,98,98,99,98,100,98,99,100,100,98,100,99,99,99,100,97,98,97,98,98,98,97,98,100,100,98,99,100,99,97,99,99,97,98,97,98,100,100,100,100,97,98,98,98,99,99,98,100,99,100,98,97,98,99,98,90,91,91,89,92,92,93,91,93,92,93,93,94,95,95,96,96,97,97,98,97,99,100,98,99,98,99,99,97,97,98,99,99,97,98,99,100,99,99,100,100,98,99,99,98,100,98,97,100,97,99,97,99,99,98,98,99,98,98,100,100,100,98,100,99,98,99,100,99,100,98,100,98,98,98,100,97,99,99,100,76,78,78,77,82,81,82,82,83,83,86,87,86,89,90,90,90,90,93,93,93,93,94,94,96,97,98,99,99,99,99,99,100,98,98,97,99,98,100,91,95,96,96,98,95,99,100,98,98,98,93,95,95,94,95,98,96,99,99,98,100,98,99,99,94,94,95,94,95,95,95,97,98,97,99,98,99,100,100,100,97,98,100,97,100,99,98,98,100,99,98,99,99,97,99,100,100,97,98,100,97,98,100,98,98,99,100,98,98,97,100,100,98,99,98,98,99,99,100,100,96,100,100,81,82,85,85,86,86,88,90,84,87,90,93,94,95,95,95,97,93,93,93,93,94,95,95,93,93,95,96,97,96,98,98,96,99,97,98,98,96,98,99,99,100,97,99,100,98,99,99,99,99,100,98,98,98,98,97,97,100,92,93,97,96,96,97,99,99,98,98,98,98,99,98,99,98,98,100,99,99,99,94,94,93,95,93,96,97,100,99,99,99,98,100,99,100,99,99,98,99,98,99,99,99,97,98,87,89,90,90,89,90,93,92,91,94,94,94,95,96,95,95,97,96,99,98,99,94,95,95,95,99,99,97,98,98,97,99,98,89,89,90,89,89,91,91,92,94,93,93,93,95,96,94,96,97,97,98,97,98,99,98,99,100,99,100,97,98,95,96,96,95,97,97,98,98,98,97,98,100,100,99,97,87,87,88,88,89,90
